resnet50_loss,bootstrapping1,bootstrapping2,bootstrapping3
184.9515161366,193.7169861314,195.864816057,201.7790498267
182.1410438742,175.3137188208,174.6944649441,172.660600406
194.0745259876,193.919297901,187.9485102599,188.2240396086
206.5515150482,197.0359509221,198.7708766762,200.2605165906
168.7594579965,169.6326836507,166.1639792854,166.6434580564
188.5983923172,184.7958856363,183.4469825597,179.5375505387
177.2446718243,171.1269882292,170.3196138026,166.9429208353
168.868308657,177.0587854151,180.7312345374,176.6739961338
209.8975701237,198.1524200033,194.8056382235,199.4361948959
180.6948585778,184.9754473745,180.7741039634,179.9631820351
165.3631969935,168.0222694559,164.1512681613,168.6778056729
160.2327564628,156.2565489961,156.2518564666,152.7880465991
208.6365497144,210.7521488654,212.5173857358,207.7133756675
186.8448365807,188.8667701197,186.1793688941,179.2560546118
141.8790378482,143.1649408655,141.3384023544,188.4766954853
180.4503688736,179.9329775582,174.2716408516,186.6090279771
202.4187464701,202.4495043444,195.0703201347,197.192975533
155.5108484501,162.4377960181,160.5031796411,149.6549502998
169.8417063727,161.3798221409,162.1437488885,168.0881243285
169.0883888485,176.982874987,169.3478910272,170.3480568953
165.5124806301,158.6531970969,157.6667578636,151.8927101772
142.0159296488,152.9636254248,148.1767197855,146.6421153221
176.911440117,170.2274211619,172.3939818975,173.3097858226
130.374557775,130.4260269719,129.8417490724,128.8964718671
199.5682020232,206.1340413595,206.683121278,203.8911440253
140.4572714629,138.3824580975,142.207180794,132.7853758291
140.5460762662,131.7826054402,132.2695954344,130.5283841185
145.546727838,150.3733465777,140.0426166612,137.8572172413
233.5788822379,228.1298905517,220.8918848798,228.4442363144
156.6570619185,145.6896995403,143.356904556,136.718019816
217.5161984666,213.5210030575,203.3325233679,200.4759242747
257.0654880934,260.7854541272,277.4879011982,265.6641484538
159.94684104,166.7032174263,153.6439488427,151.8458092144
266.1336708849,255.8749737848,252.980654408,254.2282299341
190.9355530776,192.3953562155,191.4427762007,192.6757137563
187.7727059605,185.871576897,181.5516695594,177.6350007453
152.0761781945,152.4165726761,152.3642784557,151.7983816425
240.1805647563,252.223255007,247.6366730897,238.7681519491
219.737277997,229.0195142197,219.9978490328,212.4171871676
157.348821481,181.9543967704,171.0748782595,181.4278516958
306.7475273575,306.9776896387,318.5101078908,279.4107667938
259.1605257391,264.7387375791,257.5658680707,270.0141743411
198.8968337638,212.2575079538,202.055014986,208.195904514
183.9951147268,180.2655209698,194.9623016912,180.6799133277
147.032350722,148.6039414826,152.8404527551,149.1113770085
262.860927121,304.3524773931,270.0848882952,258.9898993022
186.9190057038,197.9225815804,186.1301363201,185.9007438112
222.280406019,238.2378633671,219.0214074853,207.5306228475
210.6498711694,218.406058339,209.9232771276,209.7165409486
213.9906489614,205.7844327675,204.5364889138,203.3346561087
181.4088168446,176.8146444049,174.4772445687,173.3364464738
188.7531944663,176.0120930322,183.0933412507,186.6389864209
187.3088684935,189.618345474,187.8855739459,178.1590258786
171.6865474302,166.5135421466,164.5418600038,155.1209067193
232.9158245216,233.1993193007,235.0421969302,227.9350112267
148.5207838939,155.3983893759,191.1127649253,183.5162892606
337.1775289773,310.5337467411,293.5188715263,285.7962121083
181.6435571447,174.787088655,165.1373049811,158.994387082
191.9723044961,178.9020122823,164.5891102006,166.8964995928
180.3650773181,185.3036580471,181.870837213,174.4258599279
163.2053523635,165.5403645971,173.2578987991,164.3160299722
196.0154180552,201.2021486574,198.8796829761,192.813418908
175.0961434506,177.075005388,175.2138573756,172.8732262544
195.3869098053,201.1035094325,198.7173543907,201.4985443369
180.0903399024,178.0077032882,195.8964889958,190.0893760938
303.5056876989,299.0173860412,290.0706591061,295.6089733335
155.5350965126,164.8429863698,165.1069948307,158.1416999602
167.3765527806,168.6629562845,168.2892393282,166.9471857755
139.7272712948,151.3405979546,146.6407204066,150.6027737822
160.5857098196,163.2793232187,168.9576107705,164.9246350624
170.4800066156,178.4188034224,175.7148782871,167.9317411206
112.9945121922,121.9010424367,123.6177875085,122.6326158812
226.2480467242,214.3996318893,214.670858842,217.4429066195
155.4645040334,157.560778247,168.3556907464,162.7105454736
153.8411324785,160.4603076735,156.6006137046,150.0038823919
170.1834728553,185.7830865196,175.8984719065,167.4634950381
196.9408823451,212.3666457542,204.2924210112,203.8137394894
187.9005570127,173.4149287738,171.8368681118,171.8583407812
192.4566715146,188.5417691072,183.5075673535,187.0729055287
178.8952364972,177.3000056743,172.799478611,166.8732738236
167.2065189263,165.9172471077,163.1928317034,153.7549352428
159.1299873576,153.1450429521,153.2064258133,153.6909784944
212.8106677648,205.3753938032,195.3029171213,191.1385424826
128.6202879611,128.320271147,125.5729930201,131.9253640135
184.9289721229,174.6274951771,180.7199688254,183.4409326923
135.6906040873,129.8899939382,133.5568014588,128.3595372979
150.3468303231,152.2871967754,156.8239820096,151.2794474829
179.4461166702,177.5452407311,175.9151542831,175.0315622499
194.1809609005,187.155789142,185.1736418732,181.3809046215
175.7254001479,176.3374661756,179.3628833648,186.8738247268
137.4459623483,139.3115624585,141.8424560967,145.1215762408
154.5771768543,157.0649063078,157.0180976145,150.7077918248
263.2055864392,304.3543538986,277.1862579776,293.4750021797
150.6695888277,146.981718496,146.4663475363,144.243013314
191.0084344545,190.6519783828,191.4526396076,184.7678485095
163.9106800813,167.2546613123,163.2478091368,169.6452369464
224.3865957543,217.5111788737,216.6192651374,219.6087299915
142.7758631713,142.3039160351,144.8430012544,142.5449470581
152.9769796066,144.7008410756,145.108332657,146.0047038726
178.9484167062,188.4085786219,187.7078878191,185.4841549326
